,beta0,beta1,beta2,beta3,beta4,beta5,beta6
0,-0.7027144796479661,0.278314983170735,0.4789671430643576,0.6756974271845042,2.067953339467751,1.5164010715430778,1.7390917545040487
1,-0.6982526554438664,0.28453449757284677,0.47467600433159696,0.670301142184881,2.0746881661208807,1.5280618576063465,1.7351247362281974
2,-0.5908254248111007,0.28832672351735233,0.46532238471406195,0.6698352591232197,2.072428310348447,1.5029197643885,1.7503068173451268
3,-0.6471694064366034,0.28227975615977297,0.47073752049854356,0.6728931663870465,2.0785964423312486,1.5259754134238053,1.7258174919475842
4,-0.6583122123325325,0.2892636272717226,0.47573082529959887,0.6681213354316622,2.0729074312837468,1.5300230019842371,1.7244414129074208
5,-0.7215399455486704,0.2791889150396125,0.4671196283736663,0.6698600921599169,2.078012560621863,1.557539588642039,1.7452071634175503
6,-0.7068228204294655,0.2847921384610608,0.4713400010446058,0.6719923479609751,2.0772160623519658,1.5295037154786901,1.732785547788744
7,-0.7677786623992233,0.28161675055361357,0.48014938577756006,0.6772580173349283,2.0527444954775707,1.5286331849547086,1.748309595718009
8,-0.737695463288901,0.2819030087418586,0.4728358186823183,0.6788562567932885,2.0865415711319693,1.5057575853338987,1.7470966379088608
9,-0.652552255658577,0.2826165808600134,0.47553513004110926,0.6732692956519397,2.0875012505628283,1.5218001809849322,1.7186421778480963
10,-0.6846683538391858,0.28177359468353025,0.4694997613465173,0.6722204555772109,2.080759246140188,1.5286533423384303,1.7407602156067021
11,-0.6773214121962496,0.28392415999509435,0.4734707905513691,0.6706794355416612,2.0732883986387773,1.527988033381432,1.7331775724527247
12,-0.8221847028818274,0.28577009705332124,0.4750790443988535,0.6721593083015662,2.072507639453157,1.5384229541252479,1.7432697870785248
13,-0.6635022551816974,0.28422777628369733,0.46887586095581835,0.6736077363426087,2.055779938184987,1.5506563185093163,1.7423450104724196
14,-0.8168940620645344,0.29118058978711936,0.48164085370668985,0.6626249180347159,2.0890392059538128,1.526404493050367,1.725935805587472
15,-0.5442190355421417,0.27818027040295146,0.4668284930196904,0.6744703096140814,2.0435469819123258,1.508909731934616,1.756718564796163
16,-0.6945207983462751,0.2843280084033788,0.4727654692851022,0.6695989096976174,2.0746859129181354,1.53005634043594,1.7353674622219692
17,-0.6826405742894508,0.28334089597589873,0.47542251325425333,0.6714087129122657,2.0741239825811233,1.5255252165069733,1.7342361202465817
18,-0.8662988960543316,0.2930584559062659,0.47628754151118713,0.6709305511073165,2.0695237726697955,1.5434117247839332,1.748157467193142
19,-0.4949628029186215,0.28588113826074224,0.4704465195495722,0.6663624621063917,2.0568179689332617,1.5149948560068145,1.7371426101824916
20,-0.6982558543616619,0.28924407459666046,0.47120217300340883,0.6698515083080032,2.077440938822309,1.5385169150078983,1.7266067073239846
21,-0.7060964142826265,0.2856904275399472,0.47325388904885557,0.6701388132973278,2.0774533656290997,1.529271983871737,1.7338686000566312
22,-0.09024731174491762,0.2667460326196558,0.46187994041227576,0.6573499182770117,2.0604715725288,1.5510532712890388,1.696311136885317
23,-0.7015328607355968,0.283744335945042,0.4737878269604572,0.6731450107572297,2.0792716953411614,1.5201024983920406,1.7323883415162555
24,-0.7391945311904919,0.2890974091236176,0.47446837585416723,0.6734231073788717,2.069263935477137,1.5152420840418026,1.7410828098904751
25,-1.0163300431838138,0.2956597841364079,0.486604651380091,0.6775459242358686,2.078958478186048,1.560685930319348,1.710389182134005
26,-0.7523346092052634,0.28901423204479393,0.46969436271294995,0.6734543667185022,2.0755312159715293,1.5221626956427738,1.7402399313353953
27,-0.7297615453189792,0.2969958313856731,0.4695494994836107,0.6799161096280226,2.0751003616187944,1.5139315697798112,1.7283403571305662
